"","SRR1178014","SRR1178021","SRR1178047","SRR1178050","SRR1178061","SRR1178063"
"NM_001000001",4.21756189955019,2.40684120625398,7.65701331427384,7.30753052495404,1.89196987587682,3.69519085410551
"NM_001000081",9.84097776561712,12.0342060312699,4.37543617958505,10.9612957874311,9.45984937938408,8.00624685056193
"NM_001000121",30.9287872633681,63.7812919657306,2.18771808979253,40.1914178872472,152.776567477053,84.9893896444267
"NM_001000503",2.81170793303346,4.81368241250797,4.37543617958505,7.30753052495404,3.78393975175363,6.15865142350918
"NM_001000750",33.7404951964015,2.40684120625398,8.7508723591701,233.840976798529,180.683123146236,266.053741495597
"NM_001000913",2.81170793303346,1.20342060312699,8.7508723591701,10.9612957874311,32.1634878899059,8.00624685056193
"NM_001001110",28.1170793303346,27.6786738719208,15.3140266285477,3.65376526247702,2.83795481381522,3.69519085410551
"NM_001001504",624.199161133429,592.08293673848,714.28995631726,886.038076150677,677.3252155639,840.040054166652
"NM_001001505",2924.1762503548,1343.01739308972,1205.43266747568,7119.36161393647,9350.58811905219,7373.75334936754
"NM_001001507",1196.38172550574,1032.53487748296,1136.51954764722,1013.91986033737,1063.76006271174,936.730881515746
"NM_001001509",3382.48464343926,8500.96314048907,1256.84404258581,7853.76843169435,17239.1565165206,12362.26100241
"NM_001001511",99.8156316226879,173.292566850287,64.5376836488795,169.900084705181,292.309345822968,121.941298185482
"NM_001001512",3045.07969147524,2448.96092736343,2297.10399428215,5076.90683221182,5378.87035711779,5364.1853898765
"NM_001001513",328.969828164915,270.769635703573,287.684928807717,261.244216267107,325.891811119781,299.926324324897
"NM_001001515",210.87809497751,648.643705085449,273.464761224066,474.989484122012,562.861038073353,718.09875598117
"NM_001001517",1703.89500741828,1645.0759644746,1743.61131756464,1821.40198334479,1538.64450155682,1452.21000566346
"NM_001001718",769.002119684652,760.561821176259,878.368813051699,622.966977252332,575.631834735521,532.723348133544
"NM_001001719",77.3219681584202,102.290751265794,176.111306228298,105.959192611834,100.274403421471,145.960038737168
"NM_001001720",123.715149053472,104.697592472048,114.855199714108,113.266723136788,104.531335642194,107.16053476906
"NM_001001800",864.60018940779,660.677911116719,723.04082867643,1200.2618887237,1067.07100999452,1067.29429169414
"NM_001001801",98.4097776561712,139.596789962731,126.887649207966,89.517248930687,118.248117242301,86.8369850714794
"NM_001001934",1.40585396651673,8.42394422188895,2.18771808979253,21.9225915748621,8.98685691041488,10.4697074199656
"NM_001002016",3255.95778645275,4239.65078481639,4217.92047711999,2716.57447265166,2250.0251748865,2696.25759321232
"NM_001002022",1206.22270327136,1898.99771173439,1555.46756184249,1392.08456500374,1661.14955101984,1582.15755069951
"NM_001002253",1052.98462092103,1139.63931116126,985.566999451533,875.076780363246,767.666777137018,884.998209558269
"NM_001002277",209.472241010993,359.822760334971,307.37439161585,210.091502592429,197.237859560158,182.296082135872
"NM_001002278",614.358183367812,504.23323271021,490.048852113526,432.971183603527,535.427474873139,601.700244076847
"NM_001002279",267.112253638179,198.564399515954,262.526170775103,237.494742061006,255.888925712339,271.596527776755
"NM_001002289",482.207910515239,394.721957825653,343.471740097427,378.164704666371,406.300530844546,339.341693435356
"NM_001002798",1103.59536371563,989.211735770388,953.845087149541,707.003578289303,826.317843289199,689.153094290677
"NM_001002802",165.890768048974,96.2736482501594,86.4148645468048,193.649558911282,221.833467946557,227.254237527489
"NM_001002804",1570.33888059919,1566.85362527134,1170.429178039,2773.20783422006,2739.09938780066,2408.03270659209
"NM_001002805",562.341586606692,730.476306098084,587.402307109293,1004.78544718118,1267.1468243685,906.553489540551
"NM_001002807",539.847923142425,497.012709091448,866.33636355784,396.433530978757,516.507776114371,465.594047617294
"NM_001002809",2297.16538128834,2459.79171279157,2495.09248140838,1753.80732598897,1968.12166338086,1961.53047838767
"NM_001002815",5.62341586606692,2.40684120625398,4.37543617958505,7.30753052495404,3.78393975175363,16.6283588434748
